TOWN,COUNTY,PresDem,PresRep,PresTot
T12 R10 WELS,Aroostook,0,0,0
West Gardiner,Kennebec,1025,1395,2502
Kenduskeag,Penobscot,225,561,806
T6 R17 WELS,Somerset,0,0,0
Baldwin,Cumberland,344,702,1066
Alexander,Washington,82,251,345
T3 R12 WELS,Piscataquis,0,0,0
Wales,Androscoggin,276,689,987
Lynchtown,Oxford,0,0,0
Ashland,Aroostook,0,0,0
Lewiston,Androscoggin,8791,7433,16850
Aurora,Hancock,25,47,76
Soldiertown T2 R7 WELS,Penobscot,0,0,0
Brownfield,Oxford,487,530,1041
Summit,Penobscot,0,0,0
Bremen,Lincoln,399,192,611
Maxfield,Penobscot,17,56,74
T9 R10 WELS,Piscataquis,0,0,0
Appleton,Somerset,477,421,934
Detroit,Somerset,160,326,502
Plymouth,Somerset,216,552,783
Avon,Franklin,77,209,289
Woolwich,Sagadahoc,1087,1090,2283
Brooks,Waldo,262,332,627
New Limerick,Aroostook,106,246,361
T7 R13 WELS,Piscataquis,0,0,0
Waldo,Waldo,239,259,516
Bar Harbor,Hancock,2642,838,3658
T8 R10 WELS,Piscataquis,0,0,0
Glenburn,Penobscot,1119,1697,2910
T16 R9 WELS,Aroostook,0,0,0
Canaan,Somerset,402,794,1236
Muscle Ridge,Knox,0,0,0
C Surplus,Oxford,0,0,0
Flagstaff,Somerset,0,0,0
Sandbar Tract,Somerset,0,0,0
T9 R14 WELS,Piscataquis,0,0,0
Wellington,Piscataquis,54,89,144
Macwahoc Plantation,Aroostook,10,29,42
Monhegan Island Plantation,Lincoln,51,7,65
Cranberry Isles,Hancock,88,35,131
Eastport,Washington,478,327,843
Jonesboro,Washington,114,236,356
Blake Gore,Somerset,0,0,0
Alfred,York,680,891,2076
Spencer Bay,Piscataquis,0,0,0
T9 SD BPP,Hancock,0,0,0
Dennistown Plantation,Somerset,7,20,27
Frye Island,Cumberland,28,21,49
Bradford,Penobscot,182,516,723
Sandy Bay,Somerset,0,0,0
Unity,Waldo,420,509,972
Merrill,Aroostook,43,89,141
T10 R16 WELS,Somerset,0,0,0
Machiasport,Washington,215,351,588
T11 R13 WELS,Aroostook,0,0,0
Yarmouth,Cumberland,4747,1353,6299
Pukakon,Penobscot,0,0,0
Mars Hill,Aroostook,211,520,750
Wade,Aroostook,56,107,174
T41 MD BPP,Hancock,0,0,0
Levant,Penobscot,495,1226,1775
T11 R12 WELS,Aroostook,0,0,0
Washington,Franklin,434,577,1052
T22 MD Twp,Hancock,0,2,2
Cross Lake Twp,Aroostook,75,81,163
Carrying Place Town,Somerset,0,0,0
T6 R8 WELS,Penobscot,0,0,0
Elm Stream,Somerset,0,0,0
Perkins Swan Island,Sagadahoc,0,0,0
Readfield,Kennebec,900,875,1838
Parlin Pond,Somerset,0,0,0
Lebanon,York,1157,2360,3623
T14 R8 WELS,Aroostook,0,0,0
Waldoboro,Lincoln,1366,1598,3059
Hibberts Gore,Lincoln,0,0,0
Windham,Cumberland,5847,5399,11595
T1 R6 WELS,Penobscot,0,0,0
T9 R7 WELS,Aroostook,0,0,0
Lambert Lake,Washington,0,0,0
T25 MD BPP,Washington,0,0,0
T30 MD BPP,Washington,0,0,0
T12 R13 WELS,Aroostook,0,0,0
Milbridge/T10 SD Twp,Washington,311,456,793
Bowtown,Somerset,0,0,0
Stockton Springs,Waldo,585,561,1173
Monroe,Waldo,313,267,622
Alder Stream,Franklin,0,0,0
Mount Abram,Franklin,0,0,0
